name,x,y,z,rh
[KPS2012]_MWSC_4688,76.39222022401457,-2.7010486657099717,-1333.8114308347156,3.207156305224554
[KPS2012]_MWSC_5684,-81.43170946214217,-19.443580806076998,-1429.5505670872615,3.207156305224554
[KPS2012]_MWSC_5692,-5.079402573213896,-91.81008663558836,-1552.2790044516692,3.207156305224554
[KPS2012]_MWSC_4005,91.22310894891426,4.567957260144087,-1155.3953774185545,3.207156305224554
[KPS2012]_MWSC_4176,-69.86270853262671,-52.31154218873484,-1089.509845990536,3.207156305224554
ESO_8-6,-112.88370190163461,-109.88646488466665,-1370.978568278926,1.2178437548678025
[KPS2012]_MWSC_4219,-107.62508160350883,-156.9375201540839,-1594.6860056380142,3.207156305224554
[KPS2012]_MWSC_5575,229.77213601622475,132.25827917020612,-2174.9008053475627,3.207156305224554
[KPS2012]_MWSC_4682,130.185854808376,-9.455554882753859,-1056.970782798499,3.207156305224554
[KPS2012]_MWSC_5685,-209.99828693780188,-61.606775777436596,-1565.779781661999,3.207156305224554
[KPS2012]_MWSC_5681,-222.81037657911958,79.13842841406627,-1683.4763571956757,3.207156305224554
[KPS2012]_MWSC_2014,-392.8222659472555,-34.540214652485666,-2641.730236217889,9.521323901693727
[KPS2012]_MWSC_2064,-216.89441204999918,-43.84849670273432,-1439.0865586747711,0.9595132614109958
[KPS2012]_MWSC_2049,-559.2411461246093,-85.86729362209189,-3552.222564587874,2.9892528528573328
[KPS2012]_MWSC_5688,-131.9022463028765,-165.79909997337748,-1217.706227243777,3.207156305224554
ESO_26-2,256.3888725364288,-344.49461538071637,-2435.4295731991906,2.6571136469842958
[KPS2012]_MWSC_4137,-168.63510603717987,133.91830907623063,-1189.6676374122278,3.207156305224554
Melotte_227,124.9255824138858,-183.82241232481832,-1147.6776200595862,9.439367222791567
[KPS2012]_MWSC_5679,-172.00062699807114,128.43896006046677,-1101.2734528040055,3.207156305224554
[KPS2012]_MWSC_5572,247.43356852937282,134.76513760737626,-1444.7833702152325,3.207156305224554
[KPS2012]_MWSC_5749,229.90923055589963,-293.82970438932034,-1852.8102575611133,3.207156305224554
ESO_21-6,-408.3802557004974,-275.11041759409574,-2423.4827882378695,4.317809676349482
[KPS2012]_MWSC_5672,-83.32131933279794,244.2888139562008,-1261.8734219883208,3.207156305224554
[KPS2012]_MWSC_4114,-6.739948083847682,196.28079983200314,-941.7390406673901,3.207156305224554
[KPS2012]_MWSC_5680,-177.83249091089658,120.17545551551171,-1027.829492215545,3.207156305224554
[KPS2012]_MWSC_1955,-326.93029467576866,38.69475031373178,-1525.8900021696759,1.7714090979895307
[KPS2012]_MWSC_5698,79.826018492557,-432.6338028184216,-2021.6866224592022,3.207156305224554
[KPS2012]_MWSC_2358,-556.8625391414114,-1075.2534871620628,-5535.096209719105,16.736125540380257
[KPS2012]_MWSC_4140,-433.130093969951,312.9582247454734,-2406.3832760517894,3.207156305224554
[KPS2012]_MWSC_2089,-1284.108484507897,-416.7159911221481,-6064.551276290598,7.897532228536661
[KPS2012]_MWSC_1638,-162.8612019418398,144.4890781194356,-976.0118519804229,2.435687509735605
Chamaleon_I,-80.77359666335961,20.288925129329154,-370.7613593663199,2.288070084903144
[KPS2012]_MWSC_4668,165.6208766641134,-46.76193156086323,-755.6507440409939,3.207156305224554
